Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Proj-desc_eng,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services",,17038512,0
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Barta Beti Holdings Ltd, Beaverlodge, Alberta",0,132947
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Bee-Clean Building Maintenance, Edmonton, Alberta",0,130636
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Bureau Veritas Laboratories, Mississauga, Ontario",0,2454500
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Commercial Cleaning Services, St. Catharines, Ontario",0,115428
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Corner West Cleaning Services, Morden, Manitoba",0,110098
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Deloitte LLP, Ottawa, Ontario",0,1035000
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Department of Public Works and Government Services, Gatineau, Quebec",0,3898592
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","EnviroSafe Janitorial Inc, Surrey, British Columbia",0,124525
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","G & T Custom Farming, Falun, Alberta",0,110762
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","GDI Integrated Facility Services, Montréal, Quebec",0,126056
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,104820
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Imperial Cleaners Ltd, Dartmouth, Nova Scotia",0,134160
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Judoe Inc, London, Ontario",0,275114
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Maintenance Eureka Ltée, Thetford-Mines, Quebec",0,157840
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Merit Building Cleaning, Saskatoon, Saskatchewan",0,128998
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Ontario Infrastructure and Lands Corporation, Toronto, Ontario",0,611638
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Ontario Minister of Finance, Toronto, Ontario",0,200000
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","PricewaterhouseCoopers LLP, Toronto, Ontario",0,153866
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Racing Forensics Inc, Toronto, Ontario",0,1240638
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Samson & Associates, Gatineau, Quebec",0,164729
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Service payments under $100,000 (635 payees)",0,4036598
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Service Star Building Cleaning Inc, Ottawa, Ontario",0,799341
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Streak-Free Janitorial, Lethbridge, Alberta",0,399053
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","SBC Facility Services, Dieppe, New Brunswick",0,131723
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Waste Connections of Canada, Vaughan, Ontario",0,113654
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Welch LLP, Ottawa, Ontario",0,147796
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services",,5315093,0
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","Canadian Food Inspection Agency, Ottawa, Ontario",0,2500000
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","Dentons US LLP, Atlanta, Georgia",0,125847
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","Department of Justice, Ottawa, Ontario",0,2607883
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","Service payments under $100,000 (73 payees)",0,81363
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services",,5703767,0
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services","Department of Public Works and Government Services, Gatineau, Quebec",0,5155434
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services","Dillon Consulting Ltd, Toronto, Ontario",0,107468
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services","Service payments under $100,000 (104 payees)",0,440865
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services",,8213523,0
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Ag-Quest Inc, Minto, Manitoba",0,318818
