Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Proj-desc_eng,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services",,13260877,0
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Atelier du Martin-Pêcheur Inc, Clermont, Quebec",0,107125
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","ARI Financial Services Inc, Mississauga, Ontario",0,153133
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Barta Beti Holdings Ltd, Beaverlodge, Alberta",0,154915
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Bureau Veritas, Mississauga, Ontario",0,2036929
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Commercial Cleaning Services, St Catharines, Ontario",0,166397
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Corner West Cleaning Services, Morden, Manitoba",0,126785
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Deloitte LLP, Toronto, Ontario",0,410000
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Department of Public Works and Government Services, Gatineau, Quebec",0,814035
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","EnviroSafe Janitorial Inc, Surrey, British Columbia",0,151215
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","G & T Custom Farming, Falun, Alberta",0,128717
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","GDI Integrated Facility Services, Montréal, Quebec",0,162469
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,119986
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Imperial Cleaners Ltd, Dartmouth, Nova Scotia",0,202822
