Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2022/2023,29,"Affaires intergouvernementales, Infrastructure et Collectivités","Intergovernmental Affairs, Infrastructure and Communities",015,"Office of the Chief Electoral Officer","Bureau du directeur général des élections","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (1 entrepreneur)",Total,Total,0,-1014,0
2022/2023,02,"Agriculture et Agroalimentaire","Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","C&E Piling, Swift Current, Saskatchewan","C&E Piling, Swift Current, Saskatchewan","Swift Current Research and Development Centre Irrigation Pump Rehabilitation, Swift Current, Saskatchewan","Centre de recherche et de développement de Swift Current remise en état d'une pompe d'irrigation, Swift Current, Saskatchewan",394502,0,394502
2022/2023,02,"Agriculture et Agroalimentaire","Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Northbrook Construction Ltd., St. John's, Newfoundland and Labrador","Northbrook Construction Ltd., Saint-Jean de Terre-Neuve, Terre-Neuve-et-Labrador","Outbuildings renovations, St. John's, Newfoundland and Labrador","Rénovations de dépendances, St John's, Terre-Neuve-et-Labrador",670919,0,670919
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Brookfield Global Integrated Solutions CA, Markham, Ontario","Brookfield Global Integrated Solutions CA, Markham, Ontario","Lester B Pearson rehabilitation of building A, Ottawa, Ontario","Rénovation du bâtiment A Lester B Pearson, Ottawa, Ontario",18313180,0,17332386
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Construction Outfitters International, Boerne, Texas","Construction Outfitters International, Boerne, Texas","Design-build and fit-up of chancery, Damascus, Syria","Conception-réalisation et aménagement de la chancellerie, Damas, Syrie",6349317,0,3261795
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Epik Taahhut Sanayi IC VE Disticaret AS, Ankara, Türkiye","Epik Taahhut Sanayi IC VE Disticaret AS, Ankara, Türkiye","Modernization of the buildings of the High Commission of Canada, Dhaka, Bangladesh","Modernisation des bâtiments du Haut-commissariat du Canada, Dhaka, Bangladesh",2512795,0,694136
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Foreign & CommonWealth Office, Buckinghamshire, United Kingdom","Foreign & CommonWealth Office, Buckinghamshire, Royaume-Uni","Security upgrade, New Delhi, India","Amélioration de la sécurité, New Delhi, Inde",671957,0,601708
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Green World Unity Construction, Kabul, Afghanistan","Green World Unity Construction, Kaboul, Afghanistan","Upgrade to staff quarters and dining hall, Kabul, Afghanistan","Amélioration des logements du personnel et de la salle à manger, Kaboul, Afghanistan",6264098,0,3506973
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kancelaria Notarialna Karolina Wolf, Warsaw, Poland","Kancelaria Notarialna Karolina Wolf, Varsovie, Pologne","Real property acquisition, Warsaw, Poland","Achat de biens immobiliers, Varsovie, Pologne",719766,0,719766
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kida Design Inc, Ontario, Canada","Kida Design Inc, Ontario, Canada","Construction of recreation site C, Islamabad, Pakistan","Construction du site de loisirs C, Islamabad, Pakistan",325000,0,2896
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Lester Aldridge, London, United Kingdom","Lester Aldridge, Londres, Royaume-Uni","Acquisition of land for staff quarters, London, United Kingdom","Achat d'un terrain pour les logements du personnel, Londres, Royaume-Uni",3172962,0,2797650
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, Islamabad, Pakistan","Amélioration de la sécurité, Islamabad, Pakistan",687616,0,179586
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, Kabul, Afghanistan","Amélioration de la sécurité, Kaboul, Afghanistan",2359816,0,2193535
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, Khartoum, Sudan","Amélioration de la sécurité, Khartoum, Soudan",539502,0,495056
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, New York, New York","Amélioration de la sécurité, New York, New York",1565154,0,844063
2022/2023,07,Finances,Finance,011,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Fleming Communications Inc, Ottawa, Ontario","Fleming Communications Inc, Ottawa, Ontario","Access Control Modernization","Modernisation du contrôle d'accès",485419,0,455868
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","A-Tech Roofing Ltd., Dieppe, New Brunswick","A-Tech Roofing Ltd., Dieppe, Nouveau-Brunswick","Construction Works - Buildings, Greenwood, Nova Scotia","Travaux de construction - Bâtiments, Greenwood, Nouvelle-Écosse",1548739,0,1548739
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","A-Tech Roofing Ltd., Dieppe, New Brunswick","A-Tech Roofing Ltd., Dieppe, Nouveau-Brunswick","Construction Works - Buildings, Greenwood, Nova Scotia","Travaux de construction - Bâtiments, Greenwood, Nouvelle-Écosse",555510,0,555510
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Able Electric 2016 Ltd., Dartmouth, Nova Scotia","Able Electric 2016 Ltd., Dartmouth, Nouvelle-Écosse","Construction Works - Buildings, Dartmouth, Nova Scotia","Travaux de construction - Bâtiments, Dartmouth, Nouvelle-Écosse",995226,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Advanced Energy Management Ltd., Moncton, New Brunswick","Advanced Energy Management Ltd., Moncton, Nouveau-Brunswick","Construction Works - Buildings, Moncton, New Brunswick","Travaux de construction - Bâtiments, Moncton, Nouveau-Brunswick",1966072,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Alberta Metal Tile Roofing Inc, Edmonton, Alberta","Alberta Metal Tile Roofing Inc, Edmonton, Alberta","Construction Works - Buildings, Edmonton, Alberta","Travaux de construction - Bâtiments, Edmonton, Alberta",657420,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","All Fired Up Plumbing & HVAC-R Ltd and MNK Mechanical Services Ltd., Brandon, Manitoba","All Fired Up Plumbing & HVAC-R Ltd and MNK Mechanical Services Ltd., Brandon, Manitoba","Construction Works - Buildings, Shilo, Manitoba","Travaux de construction - Bâtiments, Shilo, Manitoba",692799,0,692799
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","All Fired Up Plumbing & HVAC-R Ltd and MNK Mechanical Services Ltd., Brandon, Manitoba","All Fired Up Plumbing & HVAC-R Ltd and MNK Mechanical Services Ltd., Brandon, Manitoba","Construction Works - Buildings, Shilo, Manitoba","Travaux de construction - Bâtiments, Shilo, Manitoba",2662889,0,2662889
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Avondale Construction Limited, Halifax, Nova Scotia","Avondale Construction Limited, Halifax, Nouvelle-Écosse","Construction Works - Buildings, Greenwood, Nova Scotia","Travaux de construction - Bâtiments, Greenwood, Nouvelle-Écosse",1636098,0,1636098
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","AGC and Associates Inc, Trenton, Ontario","AGC and Associates Inc, Trenton, Ontario","Construction Works - Buildings, Trenton, Ontario","Travaux de construction - Bâtiments, Trenton, Ontario",1081867,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Baja Construction Canada Inc, Canmore, Alberta","Baja Construction Canada Inc, Canmore, Alberta","Construction Works - Buildings, Canmore, Alberta","Travaux de construction - Bâtiments, Canmore, Alberta",840000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Battle River Electric Ltd., Wainwright, Alberta","Battle River Electric Ltd., Wainwright, Alberta","Construction Works - Buildings, Wainwright, Alberta","Travaux de construction - Bâtiments, Wainwright, Alberta",353507,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Bernard Rochefort Limited, Astorville, Ontario","Bernard Rochefort Limited, Astorville, Ontario","Construction Works - Buildings, North Bay, Ontario","Travaux de construction - Bâtiments, North Bay, Ontario",903602,0,903602
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Bird Construction Group, Bedford, Nova Scotia","Bird Construction Group, Bedford, Nouvelle-Écosse","Construction Works - Buildings, Bedford, Nova Scotia","Travaux de construction - Bâtiments, Bedford, Nouvelle-Écosse",1111500,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black & McDonald Limited, Calgary, Alberta","Black & McDonald Limited, Calgary, Alberta","Construction Works - Buildings, Calgary, Alberta","Travaux de construction - Bâtiments, Calgary, Alberta",1327103,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black & McDonald Limited, Dartmouth, Nova Scotia","Black & McDonald Limited, Dartmouth, Nouvelle-Écosse","Construction Works - Buildings, Dartmouth, Nova Scotia","Travaux de construction - Bâtiments, Dartmouth, Nouvelle-Écosse",1749000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black & McDonald Limited, Winnipeg, Manitoba","Black & McDonald Limited, Winnipeg, Manitoba","Construction Works - Buildings, Winnipeg, Manitoba","Travaux de construction - Bâtiments, Winnipeg, Manitoba",532722,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black and McDonald Ltd., Ottawa, Ontario","Black and McDonald Ltd., Ottawa, Ontario","Construction Works - Buildings, Ottawa, Ontario","Travaux de construction - Bâtiments, Ottawa, Ontario",2185234,0,2185234
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black and McDonald Ltd., Ottawa, Ontario","Black and McDonald Ltd., Ottawa, Ontario","Construction Works - Buildings, Toronto, Ontario","Travaux de construction - Bâtiments, Toronto, Ontario",462903,0,462903
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Blue Lake Construction & Consulting Engineers Corp, Winnipeg, Manitoba","Blue Lake Construction & Consulting Engineers Corp, Winnipeg, Manitoba","Construction Works - Buildings, Winnipeg, Manitoba","Travaux de construction - Bâtiments, Winnipeg, Manitoba",1771505,0,1198055
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Blunden Construction (1995) Limited, Halifax, Nova Scotia","Blunden Construction (1995) Limited, Halifax, Nouvelle-Écosse","Construction Works - Buildings, Halifax, Nova Scotia","Travaux de construction - Bâtiments, Halifax, Nouvelle-Écosse",1716297,0,1716297
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Boulder Mechanical Contractors Ltd., Calgary, Alberta","Boulder Mechanical Contractors Ltd., Calgary, Alberta","Construction Works - Buildings, Calgary, Alberta","Travaux de construction - Bâtiments, Calgary, Alberta",1079567,0,854466
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Brooks Asphalt and Aggregate Ltd., Brooks, Alberta","Brooks Asphalt and Aggregate Ltd., Brooks, Alberta","Construction Works - Buildings, Edmonton, Alberta","Travaux de construction - Bâtiments, Edmonton, Alberta",269500,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","BLUECON Contracting Ltd., New Westminster, British Columbia","BLUECON Contracting Ltd., New Westminster, Colombie-Britannique","Construction Works - Buildings, New Westminster, British Columbia","Travaux de construction - Bâtiments, New Westminster, Colombie-Britannique",1418991,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Caird Mechanical Contractors Ltd., Victoria, British Columbia","Caird Mechanical Contractors Ltd., Victoria, Colombie-Britannique","Construction Works - Buildings, Victoria, British Columbia","Travaux de construction - Bâtiments, Victoria, Colombie-Britannique",565500,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Canada Life Assurance Company, Winnipeg, Manitoba","Compagnie d'Assurance du Canada sur la Vie, Winnipeg, Manitoba","Lease of Edmonton Armoury - North, Edmonton, Alberta","Location du manège militaire d'Edmonton - Nord, Edmonton, Alberta",16881481,0,15909083
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Century Group Inc, Mississauga, Ontario","Century Group Inc, Mississauga, Ontario","Construction Works - Buildings, Mississauga, Ontario","Travaux de construction - Bâtiments, Mississauga, Ontario",393000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Charex Inc, Mirabel, Quebec","Charex Inc, Mirabel, Québec","Construction Works - Buildings, Montréal, Quebec","Travaux de construction - Bâtiments, Montréal, Québec",1309653,0,1309653
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Churchill Construction Limited, Happy Valley-Goose Bay, Newfoundland and Labrador","Churchill Construction Limited, Happy Valley-Goose Bay, Terre-Neuve-et-Labrador","Construction Works - Buildings, Happy Valley-Goose Bay, Newfoundland and Labrador","Travaux de construction - Bâtiments, Happy Valley-Goose Bay, Terre-Neuve-et-Labrador",1641300,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Churchill Construction Limited, Happy Valley-Goose Bay, Newfoundland and Labrador","Churchill Construction Limited, Happy Valley-Goose Bay, Terre-Neuve-et-Labrador","Construction Works - Buildings, Happy Valley-Goose Bay, Newfoundland and Labrador","Travaux de construction - Bâtiments, Happy Valley-Goose Bay, Terre-Neuve-et-Labrador",1715700,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Churchill Construction Limited, Happy Valley-Goose Bay, Newfoundland and Labrador","Churchill Construction Limited, Happy Valley-Goose Bay, Terre-Neuve-et-Labrador","Construction Works - Buildings, Happy Valley-Goose Bay, Newfoundland and Labrador","Travaux de construction - Bâtiments, Happy Valley-Goose Bay, Terre-Neuve-et-Labrador",453700,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Con-Pro Industries Canada Ltd., Winnipeg, Manitoba","Con-Pro Industries Canada Ltd., Winnipeg, Manitoba","Construction Works - Buildings, Winnipeg, Manitoba","Travaux de construction - Bâtiments, Winnipeg, Manitoba",776879,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Construction Meskano Inc, Wemotaci, Quebec","Construction Meskano Inc, Wemotaci, Québec","Construction Works - Buildings, Wemotaci, Quebec","Travaux de construction - Bâtiments, Wemotaci, Québec",486985,0,486985
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Construction Rock Dufour Inc, Saguenay, Quebec","Construction Rock Dufour Inc, Saguenay, Québec","Construction Works - Buildings, Saguenay, Quebec","Travaux de construction - Bâtiments, Saguenay, Québec",3973871,0,3973871
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Cube Construction Ltd., Edmonton, Alberta","Cube Construction Ltd., Edmonton, Alberta","Construction Works - Buildings, Edmonton, Alberta","Travaux de construction - Bâtiments, Edmonton, Alberta",1920000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","CIMCO Refrigeration Division of Toromont, Toronto, Ontario","CIMCO Refrigeration Division of Toromont, Toronto, Ontario","Construction Works - Buildings, Petawawa, Ontario","Travaux de construction - Bâtiments, Petawawa, Ontario",352999,0,352999
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","CW2 Construction and Design Ltd., Brandon, Manitoba","CW2 Construction and Design Ltd., Brandon, Manitoba","Construction Works - Buildings, Brandon, Manitoba","Travaux de construction - Bâtiments, Brandon, Manitoba",597008,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Dave McDonald Electric Ltd., Victoria, British Columbia","Dave McDonald Electric Ltd., Victoria, Colombie-Britannique","Construction Works - Buildings, Victoria, British Columbia","Travaux de construction - Bâtiments, Victoria, Colombie-Britannique",1808582,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Demix Construction Division Groupe CRH, Laval, Quebec","Demix Construction Division Groupe CRH, Laval, Québec","Construction Works - Buildings, Montréal, Quebec","Travaux de construction - Bâtiments, Montréal, Québec",516025,0,516025
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Derek Penney Electrical Ltd., St. John's, Newfoundland and Labrador","Derek Penney Electrical Ltd., Saint-Jean de Terre-Neuve, Terre-Neuve-et-Labrador","Construction Works - Buildings, St. John's, Newfoundland and Labrador","Travaux de construction - Bâtiments, St John's, Terre-Neuve-et-Labrador",2921630,0,1138200
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Dexter Construction Company Limited, Wolfville, Nova Scotia","Dexter Construction Company Limited, Wolfville, Nouvelle-Écosse","Construction Works - Buildings, Greenwood, Nova Scotia","Travaux de construction - Bâtiments, Greenwood, Nouvelle-Écosse",2808496,0,2808496
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Dobbelsteyn Service, Fredericton, New Brunswick","Dobbelsteyn Service, Fredericton, Nouveau-Brunswick","Construction Works - Buildings, Fredericton, New Brunswick","Travaux de construction - Bâtiments, Fredericton, Nouveau-Brunswick",1157404,0,1157404
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","EastPoint Engineering Limited, Halifax, Nova Scotia","EastPoint Engineering Limited, Halifax, Nouvelle-Écosse","Construction Works - Buildings, Halifax, Nova Scotia","Travaux de construction - Bâtiments, Halifax, Nouvelle-Écosse",360000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Emmanuel Construction Services Ltd., Glovertown, Newfoundland and Labrador","Emmanuel Construction Services Ltd., Glovertown, Terre-Neuve-et-Labrador","Construction Works - Buildings, Glovertown, Newfoundland and Labrador","Travaux de construction - Bâtiments, Glovertown, Terre-Neuve-et-Labrador",5079001,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Empower Airport Systems inc, Ancaster, Ontario","Empower Airport Systems inc, Ancaster, Ontario","Construction Works - Buildings, Ancaster, Ontario","Travaux de construction - Bâtiments, Ancaster, Ontario",506170,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Entreprise de Construction T E Q Inc, Saint-Jean-sur-Richelieu, Quebec","Entreprise de Construction T E Q Inc, Saint-Jean-sur-Richelieu, Québec","Construction Works - Buildings, Saint-Jean-sur-Richelieu, Quebec","Travaux de construction - Bâtiments, Saint-Jean-sur-Richelieu, Québec",23230594,0,23179536
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","F & M Installations Ltd., Nanaimo, British Columbia","F & M Installations Ltd., Nanaimo, Colombie-Britannique","Construction Works - Buildings, Esquimalt, British Columbia","Travaux de construction - Bâtiments, Esquimalt, Colombie-Britannique",6303760,0,6303760
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Farmer Construction Ltd., Victoria, British Columbia","Farmer Construction Ltd., Victoria, Colombie-Britannique","Construction Works - Buildings, Esquimalt, British Columbia","Travaux de construction - Bâtiments, Esquimalt, Colombie-Britannique",865141,0,865141
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Farmer Construction Ltd., Victoria, British Columbia","Farmer Construction Ltd., Victoria, Colombie-Britannique","Construction Works - Buildings, Victoria, British Columbia","Travaux de construction - Bâtiments, Victoria, Colombie-Britannique",2490000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Frecon Construction, Russell, Ontario","Frecon Construction, Russell, Ontario","Construction Works - Buildings, Petawawa, Ontario","Travaux de construction - Bâtiments, Petawawa, Ontario",3202971,0,3157403
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","G A Leblanc Construction and Services, Halifax, Nova Scotia","G A Leblanc Construction and Services, Halifax, Nouvelle-Écosse","Construction Works - Buildings, Halifax, Nova Scotia","Travaux de construction - Bâtiments, Halifax, Nouvelle-Écosse",296244,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Gagne & Roy Inc, Sherbrooke, Quebec","Gagne & Roy Inc, Sherbrooke, Québec","Construction Works - Buildings, Sherbrooke, Quebec","Travaux de construction - Bâtiments, Sherbrook, Québec",605249,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Gil-Son Construction Limited, Halifax, Nova Scotia","Gil-Son Construction Limited, Halifax, Nouvelle-Écosse","Construction Works - Buildings, Halifax, Nova Scotia","Travaux de construction - Bâtiments, Halifax, Nouvelle-Écosse",464784,0,464784
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Greendale Resources Inc, Lower Sackville, Nova Scotia","Greendale Resources Inc, Lower Sackville, Nouvelle-Écosse","Construction Works - Buildings, Halifax, Nova Scotia","Travaux de construction - Bâtiments, Halifax, Nouvelle-Écosse",1289049,0,1289049
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","GMR Inc, Lévis, Quebec","GMR Inc, Lévis, Québec","Construction Works - Buildings, Lévis, Quebec","Travaux de construction - Bâtiments, Lévis, Québec",586250,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","GMR Inc, Lévis, Quebec","GMR Inc, Lévis, Québec","Construction Works - Buildings, Lévis, Quebec","Travaux de construction - Bâtiments, Lévis, Québec",589375,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Inter-Projet / 9099-3593 Quebec Inc, Saguenay, Quebec","Inter-Projet / 9099-3593 Quebec Inc, Saguenay, Québec","Construction Works - Buildings, Saguenay, Quebec","Travaux de construction - Bâtiments, Saguenay, Québec",1571700,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","IPAC Paving Limited, Richmond Hill, Ontario","IPAC Paving Limited, Richmond Hill, Ontario","Construction Works - Buildings, Richmond Hill, Ontario","Travaux de construction - Bâtiments, Richmond Hill, Ontario",655000,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","J & C Master Contracting Inc, Calgary, Alberta","J & C Master Contracting Inc, Calgary, Alberta","Construction Works - Buildings, Calgary, Alberta","Travaux de construction - Bâtiments, Calgary, Alberta",278093,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","J & R Mechanical Limited, Yellowknife, Northwest Territories","J & R Mechanical Limited, Yellowknife, Territoires du Nord-Ouest","Construction Works - Buildings, Yellowknife, Northwest Territories","Travaux de construction - Bâtiments, Yellowknife, Territoires du Nord-Ouest",1533324,0,1533324
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Johnson Controls LP, Ottawa, Ontario","Johnson Controls LP, Ottawa, Ontario","Construction Works - Buildings, Ottawa, Ontario","Travaux de construction - Bâtiments, Ottawa, Ontario",26064467,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Jonel Jim Concrete Construction (1994) Ltd., Sydney, Nova Scotia","Jonel Jim Concrete Construction (1994) Ltd., Sydney, Nouvelle-Écosse","Construction Works - Buildings, Sydney, Nova Scotia","Travaux de construction - Bâtiments, Sydney, Nouvelle-Écosse",920023,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","JV b/w 7 Cedars & Milestone Environmental Contracting, Langley, British Columbia","JV b/w 7 Cedars & Milestone Environmental Contracting, Langley, Colombie-Britannique","Construction Works - Buildings, Chiliwack, British Columbia","Travaux de construction - Bâtiments, Chiliwack, Colombie-Britannique",739256,0,442135
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Kamal M Al Sultan Company, Safat, Kuwait","Kamal M Al Sultan Company, Safat, Kuwait","Construction Works - Buildings, Riga, Latvia","Travaux de construction - Bâtiments, Riga, Latvia",1071263,0,1071263
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Kirila Fire Canada, ULC, Fowler, Ohio","Kirila Fire Canada, ULC, Fowler, Ohio","Construction Works - Buildings, Fowler, Ohio","Travaux de construction - Bâtiments, Fowler, Ohio",3111655,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Knappett Industries (2006) Ltd., Nanaimo, British Columbia","Knappett Industries (2006) Ltd., Nanaimo, Colombie-Britannique","Construction Works - Buildings, Nanaimo, British Columbia","Travaux de construction - Bâtiments, Nanaimo, Colombie-Britannique",3321310,0,0
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Laval Fortin Ltée, Alma, Quebec","Laval Fortin Ltée, Alma, Québec","Construction Works - Buildings, Montréal, Quebec","Travaux de construction - Bâtiments, Montréal, Québec",2302850,0,2302850
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Le Groupe Valcourt Inc, Montréal, Quebec","Le Groupe Valcourt Inc, Montréal, Québec","Construction Works - Buildings, Montréal, Quebec","Travaux de construction - Bâtiments, Montréal, Québec",422300,0,422300
