Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2022/2023,06,"Environnement et Changement climatique","Environment and Climate Change",124,"Parks Canada Agency","Agence Parcs Canada","Construction Demathieu & Bard (CDB) Inc, St-Jérôme, Quebec","Construction Demathieu & Bard (CDB) Inc, St-Jérôme, Québec","Rehabilitation of Warsaw swing bridge, Peterborough, Ontario","Réfection du pont tournant Warsaw, Peterborough, Ontario",5212324,130640,5203847
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Constructions CR Les, La Baie, Quebec","Constructions CR Les, La Baie, Québec","Construction Works - Buildings, La Baie, Quebec","Travaux de construction - Bâtiments, La Baie, Québec",873717,131163,873717
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Frecon Construction, Russell, Ontario","Frecon Construction, Russell, Ontario","Construction Works - Buildings, Russell, Ontario","Travaux de construction - Bâtiments, Russell, Ontario",1144045,133355,133355
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","AKM Group Limited, Toronto, Ontario","AKM Group Limited, Toronto, Ontario","Construction Works - Buildings, Toronto, Ontario","Travaux de construction - Bâtiments, Toronto, Ontario",373623,133636,133636
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","QM LP, Burlington, Ontario","QM LP, Burlington, Ontario","Construction Works - Buildings, Victoria, British Columbia","Travaux de construction - Bâtiments, Victoria, Colombie-Britannique",1259145,135089,1259145
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Citadelle Inc, Beauport, Quebec","Citadelle Inc, Beauport, Québec","Travaux de construction - Bâtiments, Beauport, Quebec","Travaux de construction - Bâtiments, Beauport, Québec",4135416,137175,137175
2022/2023,22,Transports,Transport,034,"Department of Transport","Ministère des Transports","Republic Architecture Inc, Winnipeg, Manitoba","Republic Architecture Inc, Winnipeg, Manitoba","Rehabilitation of combined services building, Wabush, Newfoundland and Labrador","Réhabilitation du bâtiment des services combinés, Wabush, Terre-Neuve-et-Labrador",838674,139675,771788
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","IPAC Paving Limited, Richmond Hill, Ontario","IPAC Paving Limited, Richmond Hill, Ontario","Construction Works - Buildings, Richmond Hill, Ontario","Travaux de construction - Bâtiments, Richmond Hill, Ontario",537500,140462,140462
2022/2023,06,"Environnement et Changement climatique","Environment and Climate Change",124,"Parks Canada Agency","Agence Parcs Canada","Department of Public Works and Government Services, Gatineau, Quebec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec","Rehabilitation of Trenton Dam 1 and Lock 1, Trenton, Ontario","Réfection du barrage 1 de Trenton et de l'écluse 1, Trenton, Ontario",5596824,141430,5534956
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Access Contracting Limited, Waterville, Nova Scotia","Access Contracting Limited, Waterville, Nouvelle-Écosse","Construction Works - Buildings, Waterville, Nova Scotia","Travaux de construction - Bâtiments, Waterville, Nouvelle-Écosse",381736,141701,381736
